"variable","lower","upper","med","real","real.in.83","real.minus.med","percent.error","run_id"
"scleractinianElectivity",-0.989886487384967,-0.659376298612067,-0.821484161449329,-1.05911615191151,FALSE,-0.237631990462177,-22.4368205539398,10
"gorgonianElectivity",1.34147870094205,1.6844092736628,1.50719091905577,0.944127070994937,FALSE,-0.563063848060832,59.6385661802352,11
"fireElectivity",-0.99795149221293,-0.683343352549968,-0.838717415553029,-0.946260797708288,TRUE,-0.10754338215526,-11.3650890341981,11
"spongeElectivity",-0.399348957325833,-0.158204707388601,-0.278898249336048,-0.248288449238896,TRUE,0.0306098000971519,12.328322236086,11
"scleractinianElectivity",-1.48041833622165,-1.08562441653272,-1.2778338528078,-1.32843646853908,TRUE,-0.0506026157312764,-3.80918598139102,11
"gorgonianElectivity",0.732279903502792,0.915730532475175,0.821974853417131,1.66638346287584,FALSE,0.844408609458707,-50.6731270605284,12
"fireElectivity",-0.223055010830326,-0.0563857921032647,-0.140043550577953,0.0661672901315304,FALSE,0.206210840709483,-311.650726967309,12
"spongeElectivity",-1.78109171366713,-1.37436395373481,-1.56644600786971,-1.11826177076019,FALSE,0.448184237109514,40.0786514238825,12
"scleractinianElectivity",0.0665337415737341,0.236106123398831,0.149387604693656,0.48524772207913,FALSE,0.335860117385474,-69.2141564202346,12
"gorgonianElectivity",-0.244161547325609,-0.075030382774141,-0.160733674302065,0.259313538417069,FALSE,0.420047212719134,-161.984297188351,13
"fireElectivity",-0.192093439787317,-0.0248315042349295,-0.108993276072344,0.373134504519161,FALSE,0.482127780591505,-129.210184196929,13
"spongeElectivity",0.318728869707939,0.491967439068019,0.404774371999556,1.26466676928415,FALSE,0.859892397284591,-67.9935946898743,13
"scleractinianElectivity",-0.181070458716961,-0.0184857614601804,-0.100704975231405,0.325224996068265,FALSE,0.42592997129967,-130.964709493076,13
"gorgonianElectivity",0.730262019446053,0.949801698394207,0.837758892765555,0.801678860984581,TRUE,-0.036080031780974,4.50055920604696,14
"fireElectivity",0.162614582295159,0.357620423482263,0.260183948236384,0.372175475412209,FALSE,0.111991527175825,-30.0910550464903,14
"spongeElectivity",-0.438313291434641,-0.243318203008608,-0.342240620728036,-0.10378641308259,FALSE,0.238454207645446,229.754743962191,14
"scleractinianElectivity",-6.87328316225584,-2.38817978227479,-4.3379549959947,-1.83286857928085,FALSE,2.50508641671385,136.67572487367,14
"gorgonianElectivity",0.0841267123284717,0.447640156350567,0.262401965609174,-0.43289519356181,FALSE,-0.695297159170983,-160.615587678431,15
"fireElectivity",-0.854691228461485,-0.47140741993421,-0.663509876661853,-1.03101770806171,FALSE,-0.367507831399859,-35.6451522147728,15
"spongeElectivity",-1.49335550834934,-0.899366318343343,-1.18152336589852,-1.13433449832271,TRUE,0.0471888675758119,4.1600487021763,15
"scleractinianElectivity",0.47598247828732,0.872615115816754,0.666789959506092,-0.221098125377531,FALSE,-0.887888084883624,-401.581009955435,15
"gorgonianElectivity",-1.68868457037936,-1.29916533951485,-1.48363297122571,-1.57153619962166,TRUE,-0.0879032283959507,-5.59345870728989,16
"fireElectivity",-0.723420091419108,-0.519607862322362,-0.622324607737566,-0.488841161767338,FALSE,0.133483445970228,27.3060978514241,16
"spongeElectivity",1.12308210180632,1.35104687500092,1.23615526144463,2.18122554827368,FALSE,0.945070286829048,-43.3274902532211,16
"scleractinianElectivity",0.0206759226068149,0.207061317952251,0.113709370588592,0.508017884392083,FALSE,0.394308513803491,-77.6170536349008,16
"gorgonianElectivity",-0.119866674141684,0.0385697594589393,-0.0407241038058205,0.526907259597763,FALSE,0.567631363403584,-107.728894044259,17
"fireElectivity",-0.242802504405301,-0.0842589356955847,-0.163532615035212,0.240419981775496,FALSE,0.403952596810708,-168.019560532168,17
"spongeElectivity",0.200235275165217,0.357888197442569,0.278504455963007,0.898362457249366,FALSE,0.619858001286359,-68.9986537487618,17
"scleractinianElectivity",-0.0667802765066414,0.0898187683494056,0.0110819586525115,0.487968126935476,FALSE,0.476886168282965,-97.7289585034768,17
"gorgonianElectivity",0.163320494256063,0.366874459746843,0.263966324370251,0.357700971719117,TRUE,0.0937346473488662,-26.2047505485869,18
"fireElectivity",0.747060047472278,0.971676670218841,0.857479713122623,1.11407807577508,FALSE,0.256598362652455,-23.032350086769,18
"spongeElectivity",-0.336734349962767,-0.128481609797102,-0.233120642726819,-0.0113031165957382,FALSE,0.221817526131081,1962.44570470694,18
